date,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_group_status,ad_group_type,cpc_bid,impressions,clicks,cost,conversions,conversions_value,avg_cpc
2025-06-17,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,86,1,62.9,0.0,0.0,62.9
2025-06-17,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,94,6,92.49,0.0,0.0,15.415
2025-06-17,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,16,0,0.0,0.0,0.0,
2025-06-17,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,66,4,70.26,0.0,0.0,17.565
2025-06-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,45,1,10.81,0.0,0.0,10.81
2025-06-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,45,1,3.72,0.0,0.0,3.72
2025-06-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,10,1,9.94,0.0,0.0,9.94
2025-06-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,26,4,68.090392,0.0,0.0,17.022598
2025-06-19,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,50,3,40.08,0.0,0.0,13.36
2025-06-19,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,53,1,6.34,0.0,0.0,6.34
2025-06-19,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,15,0,0.0,0.0,0.0,
2025-06-19,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,29,4,32.823263,0.0,0.0,8.20581575
2025-06-20,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,88,3,37.21378,0.0,0.0,12.404593333333334
2025-06-20,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,74,1,25.88,1.0,100.0,25.88
2025-06-20,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,20,0,0.0,0.0,0.0,
2025-06-20,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,75,3,17.91,1.0,100.0,5.97
2025-06-21,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,51,1,19.65,0.0,0.0,19.65
2025-06-21,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,41,1,28.55561,0.0,0.0,28.55561
2025-06-21,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,11,1,2.42,0.0,0.0,2.42
2025-06-21,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,36,0,0.0,0.0,0.0,
2025-06-22,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,19,1,7.25,0.0,0.0,7.25
2025-06-22,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,15,0,0.0,0.0,0.0,
2025-06-22,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,3,0,0.0,0.0,0.0,
2025-06-22,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,10,0,0.0,0.0,0.0,
2025-06-23,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,172,3,52.974675,0.0,0.0,17.658225
2025-06-23,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,114,2,10.47,0.0,0.0,5.235
2025-06-23,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,58,4,24.035928,2.0,500.0,6.008982
2025-06-23,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,172,2,5.812701,0.0,0.0,2.9063505
2025-06-24,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,107,4,88.25,0.0,0.0,22.0625
2025-06-24,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,91,1,3.38,0.0,0.0,3.38
2025-06-24,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,45,2,28.99063,0.0,0.0,14.495315
2025-06-24,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,127,6,76.6,0.0,0.0,12.766666666666666
2025-06-25,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,68,5,142.681176,1.0,1.0,28.5362352
2025-06-25,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,66,1,9.32,0.0,0.0,9.32
2025-06-25,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,57,2,8.27,1.0,100.0,4.135
2025-06-25,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,108,3,39.526497,0.0,0.0,13.175499
2025-06-26,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,PAUSED,SEARCH_STANDARD,0.01,27,2,18.94,0.0,0.0,9.47
2025-06-26,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ENABLED,SEARCH_STANDARD,0.01,32,1,17.51,0.0,0.0,17.51
2025-06-26,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,PAUSED,SEARCH_STANDARD,0.01,27,0,0.0,0.0,0.0,
2025-06-26,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ENABLED,SEARCH_STANDARD,0.01,36,3,82.92136,1.0,1.0,27.640453333333333
